0.072830,20.490000,0.068110,0.196700
0.044190,15.400000,0.071870,0.168300
0.139700,18.240000,0.063460,0.211600
0.167400,24.900000,0.062130,0.196600
0.055880,23.220000,0.062850,0.193400
0.035710,24.470000,0.063150,0.196400
0.121800,27.960000,0.076690,0.205400
0.137400,22.070000,0.061300,0.190800
0.222900,22.660000,0.075960,0.239800
0.058130,21.750000,0.052550,0.163200
0.125100,17.930000,0.059120,0.152100
0.083120,25.990000,0.061830,0.175900
0.086980,36.320000,0.059130,0.160100
0.093100,21.570000,0.069150,0.192500
0.141600,25.400000,0.072550,0.195700
0.109600,24.370000,0.072530,0.170900
