1.000000,0.226562,0.058594,0.488281,0.027344,0.023438,0.078125,0.074219,0.156250,0.003906,0.367188,0.109375,0.066406,0.261719,0.156250,0.062500
0.226562,1.000000,0.089844,0.210938,0.167969,0.027344,0.035156,0.054688,0.003906,0.031250,0.050781,0.007812,0.019531,0.117188,0.164062,0.156250
0.058594,0.089844,1.000000,0.003906,0.058594,0.035156,0.328125,0.058594,0.171875,0.042969,0.000000,0.113281,0.156250,0.269531,0.238281,0.007812
0.488281,0.210938,0.003906,1.000000,0.144531,0.042969,0.007812,0.011719,0.097656,0.003906,0.660156,0.039062,0.191406,0.074219,0.050781,0.062500
0.027344,0.167969,0.058594,0.144531,1.000000,0.050781,0.132812,0.042969,0.054688,0.062500,0.093750,0.000000,0.031250,0.128906,0.445312,0.238281
0.023438,0.027344,0.035156,0.042969,0.050781,1.000000,0.066406,0.027344,0.175781,0.039062,0.097656,0.312500,0.144531,0.031250,0.015625,0.160156
0.078125,0.035156,0.328125,0.007812,0.132812,0.066406,1.000000,0.062500,0.019531,0.128906,0.007812,0.308594,0.050781,0.390625,0.109375,0.234375
0.074219,0.054688,0.058594,0.011719,0.042969,0.027344,0.062500,1.000000,0.015625,0.218750,0.046875,0.074219,0.007812,0.074219,0.156250,0.035156
0.156250,0.003906,0.171875,0.097656,0.054688,0.175781,0.019531,0.015625,1.000000,0.355469,0.218750,0.148438,0.312500,0.035156,0.167969,0.050781
0.003906,0.031250,0.042969,0.003906,0.062500,0.039062,0.128906,0.218750,0.355469,1.000000,0.054688,0.058594,0.363281,0.183594,0.175781,0.066406
0.367188,0.050781,0.000000,0.660156,0.093750,0.097656,0.007812,0.046875,0.218750,0.054688,1.000000,0.015625,0.023438,0.035156,0.031250,0.082031
0.109375,0.007812,0.113281,0.039062,0.000000,0.312500,0.308594,0.074219,0.148438,0.058594,0.015625,1.000000,0.097656,0.027344,0.007812,0.253906
0.066406,0.019531,0.156250,0.191406,0.031250,0.144531,0.050781,0.007812,0.312500,0.363281,0.023438,0.097656,1.000000,0.003906,0.019531,0.023438
0.261719,0.117188,0.269531,0.074219,0.128906,0.031250,0.390625,0.074219,0.035156,0.183594,0.035156,0.027344,0.003906,1.000000,0.273438,0.328125
0.156250,0.164062,0.238281,0.050781,0.445312,0.015625,0.109375,0.156250,0.167969,0.175781,0.031250,0.007812,0.019531,0.273438,1.000000,0.296875
0.062500,0.156250,0.007812,0.062500,0.238281,0.160156,0.234375,0.035156,0.050781,0.066406,0.082031,0.253906,0.023438,0.328125,0.296875,1.000000
